# species	aspect:kind,...
porygon	mythical_blazing:texture,mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
omanyte	mythical_gilded:texture,mythical_pixie:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
omastar	mythical_gilded:texture,mythical_pixie:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
kabuto	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
kabutops	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
aerodactyl	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
snorlax	mythical_gilded:texture,mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
articuno	mythical_blazing:texture,mythical_gilded:texture,mythical_radioactive:texture,mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
zapdos	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
moltres	mythical_blazing:texture,mythical_gilded:texture,mythical_radioactive:texture,mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
dratini	mythical_blazing:texture,mythical_easter:texture,mythical_frosted:texture,mythical_pixie:texture,mythical_plasma:texture,mythical_shadow:texture,mythical_twilight:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
dragonair	mythical_blazing:texture,mythical_easter:texture,mythical_frosted:texture,mythical_pixie:texture,mythical_plasma:texture,mythical_shadow:texture,mythical_twilight:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
dragonite	mythical_blazing:texture,mythical_easter:texture,mythical_pixie:texture,mythical_plasma:texture,mythical_shadow:texture,mythical_twilight:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
mewtwo	mythical_blazing:texture,mythical_error:texture,mythical_gilded:texture,mythical_metallic:texture,mythical_radioactive:texture,mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
mew	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
chikorita	mythical_gilded:texture,mythical_ominous:texture,mythical_pixie:texture,mythical_rainbow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
bayleef	mythical_gilded:texture,mythical_ominous:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
meganium	mythical_gilded:texture,mythical_ominous:texture,mythical_pixie:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
cyndaquil	mythical_gilded:texture,mythical_ominous:texture,mythical_rainbow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
quilava	mythical_gilded:texture,mythical_ominous:texture,mythical_rainbow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
typhlosion	mythical_gilded:texture,mythical_ominous:texture,mythical_pixie:texture,mythical_rainbow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
totodile	mythical_gilded:texture,mythical_ominous:texture,mythical_pixie:texture,mythical_radioactive:texture,mythical_rainbow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
croconaw	mythical_gilded:texture,mythical_ominous:texture,mythical_pixie:texture,mythical_radioactive:texture,mythical_rainbow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
feraligatr	mythical_gilded:texture,mythical_ominous:texture,mythical_pixie:texture,mythical_radioactive:texture,mythical_rainbow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
sentret	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
furret	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
hoothoot	mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
noctowl	mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
spinarak	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
ariados	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
crobat	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
chinchou	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
lanturn	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
pichu	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
cleffa	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
igglybuff	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
natu	mythical_metallic:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
xatu	mythical_metallic:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
mareep	mythical_gilded:texture,mythical_jungle:texture,mythical_pixie:texture,mythical_rainbow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
flaaffy	mythical_gilded:texture,mythical_jungle:texture,mythical_pixie:texture,mythical_rainbow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
ampharos	mythical_gilded:texture,mythical_jungle:texture,mythical_pixie:texture,mythical_rainbow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
bellossom	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
sudowoodo	mythical_gingerbread:texture,mythical_sakura:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
politoed	mythical_gilded:texture,mythical_pixie:texture,mythical_radioactive:texture,mythical_rainbow:texture,mythical_smp:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
aipom	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
yanma	mythical_sakura:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
wooper	mythical_error:texture,mythical_shadow:texture,mythical_smp_v2:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
quagsire	mythical_error:texture,mythical_shadow:texture,mythical_smp_v2:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
espeon	mythical_radioactive:texture,mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
umbreon	mythical_blazing:texture,mythical_error:texture,mythical_gilded:texture,mythical_radioactive:texture,mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
murkrow	mythical_error:texture,mythical_gilded:texture,mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
slowking	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
misdreavus	mythical_gilded:texture,mythical_ominous:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
pineco	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
forretress	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
gligar	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
steelix	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
snubbull	mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
granbull	mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
qwilfish	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
scizor	mythical_blazing:texture,mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
shuckle	mythical_blazing:texture,mythical_easter:texture,mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
heracross	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
sneasel	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
teddiursa	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
ursaring	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
slugma	mythical_frosted:texture,mythical_ominous:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
magcargo	mythical_frosted:texture,mythical_ominous:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
swinub	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
piloswine	mythical_sakura:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
skarmory	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
kingdra	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
phanpy	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
donphan	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
porygon2	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
stantler	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
smeargle	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
tyrogue	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
hitmontop	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
smoochum	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
elekid	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
magby	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
miltank	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
blissey	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
larvitar	mythical_frosted:texture,mythical_gilded:texture,mythical_metallic:texture,mythical_plasma:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
pupitar	mythical_frosted:texture,mythical_gilded:texture,mythical_metallic:texture,mythical_plasma:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
tyranitar	mythical_frosted:texture,mythical_gilded:texture,mythical_metallic:texture,mythical_plasma:texture,mythical_smp_v2:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
treecko	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
grovyle	mythical_gilded:texture,mythical_pixie:texture,mythical_plasma:texture,mythical_rainbow:texture,mythical_valentines:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
sceptile	mythical_gilded:texture,mythical_pixie:texture,mythical_plasma:texture,mythical_rainbow:texture,mythical_valentines:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
torchic	mythical_gilded:texture,mythical_pixie:texture,mythical_plasma:texture,mythical_rainbow:texture,mythical_valentines:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
combusken	mythical_gilded:texture,mythical_pixie:texture,mythical_plasma:texture,mythical_rainbow:texture,mythical_valentines:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
blaziken	mythical_gilded:texture,mythical_pixie:texture,mythical_plasma:texture,mythical_rainbow:texture,mythical_valentines:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
mudkip	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
marshtomp	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
swampert	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
poochyena	mythical_metallic:texture,mythical_ominous:texture,mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
mightyena	mythical_metallic:texture,mythical_ominous:texture,mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
zigzagoon	mythical_ominous:texture,mythical_radioactive:texture,mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
linoone	mythical_ominous:texture,mythical_radioactive:texture,mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
lotad	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
lombre	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
ludicolo	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
seedot	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
nuzleaf	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
shiftry	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
taillow	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
swellow	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
wingull	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
pelipper	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
ralts	mythical_independence_day:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
kirlia	mythical_independence_day:texture,mythical_radioactive:texture,mythical_valentines:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
gardevoir	mythical_independence_day:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
surskit	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
masquerain	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
shroomish	mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
breloom	mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
nincada	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
ninjask	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
shedinja	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
whismur	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
loudred	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
exploud	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
makuhita	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
hariyama	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
nosepass	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
sableye	mythical_gilded:texture,mythical_metallic:texture,mythical_ominous:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
mawile	mythical_metallic:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
aron	mythical_gilded:texture,mythical_metallic:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
lairon	mythical_gilded:texture,mythical_metallic:texture,mythical_spectre:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
aggron	mythical_gilded:texture,mythical_metallic:texture,mythical_smp_v2:texture,mythical_spectre:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
plusle	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
minun	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
volbeat	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
illumise	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
roselia	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
carvanha	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
sharpedo	mythical_metallic:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
wailmer	mythical_gilded:texture,mythical_pixie:texture,mythical_rainbow:texture,mythical_twilight:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
wailord	mythical_gilded:texture,mythical_pixie:texture,mythical_rainbow:texture,mythical_twilight:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
numel	mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
